label,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62
Fist,0.000000,0.000000,0.000000,-0.240062,0.013299,-0.067460,-0.539487,-0.325809,-0.080685,-0.662866,-0.772326,-0.105435,-0.607795,-1.113499,-0.106049,-0.468824,-0.846296,0.064777,-0.607529,-0.983547,-0.065908,-0.514660,-0.689948,-0.112282,-0.449859,-0.720556,-0.122497,-0.326688,-0.943762,0.050876,-0.486247,-1.118595,-0.091692,-0.367271,-0.671420,-0.073706,-0.297996,-0.730906,-0.007669,-0.175724,-1.024458,0.002694,-0.321561,-1.196987,-0.148918,-0.232395,-0.747512,-0.072547,-0.164004,-0.761747,0.032973,-0.011576,-1.099803,-0.054482,-0.152253,-1.262966,-0.122475,-0.120423,-0.941302,-0.061664,-0.058917,-0.899038,0.012096
Fist,0.000000,0.000000,0.000000,-0.239913,0.012892,-0.070349,-0.543145,-0.329133,-0.081162,-0.664283,-0.774441,-0.101909,-0.593971,-1.100642,-0.098071,-0.468525,-0.845743,0.063928,-0.605898,-0.983748,-0.062494,-0.513056,-0.681003,-0.108247,-0.452871,-0.698650,-0.119440,-0.326082,-0.943858,0.052939,-0.479776,-1.101010,-0.088078,-0.360234,-0.670812,-0.073152,-0.293426,-0.722045,-0.011023,-0.174869,-1.021582,0.007889,-0.316946,-1.173082,-0.141727,-0.226069,-0.742130,-0.068840,-0.162263,-0.753027,0.032542,-0.009578,-1.091689,-0.046216,-0.150965,-1.245055,-0.115840,-0.114762,-0.927416,-0.058116,-0.056483,-0.881115,0.012936
Fist,0.000000,0.000000,0.000000,-0.246691,-0.000779,-0.058143,-0.536870,-0.331032,-0.066231,-0.653882,-0.756088,-0.087690,-0.601547,-1.079233,-0.085938,-0.470765,-0.845627,0.073425,-0.613853,-0.955453,-0.055894,-0.520204,-0.679554,-0.103707,-0.453289,-0.718595,-0.114865,-0.329551,-0.942548,0.054764,-0.491602,-1.107642,-0.085397,-0.372759,-0.669387,-0.068871,-0.300834,-0.725652,-0.004702,-0.179127,-1.026304,0.002859,-0.329109,-1.178911,-0.148598,-0.236518,-0.733004,-0.070957,-0.165012,-0.738529,0.035762,-0.015416,-1.097143,-0.057444,-0.161670,-1.259114,-0.127580,-0.127212,-0.937738,-0.064044,-0.063092,-0.886976,0.012972
Fist,0.000000,0.000000,0.000000,-0.237708,0.009167,-0.075607,-0.535559,-0.321537,-0.091753,-0.658569,-0.752155,-0.115688,-0.596807,-1.078641,-0.113896,-0.461570,-0.851884,0.054084,-0.602275,-0.956205,-0.072849,-0.504926,-0.665924,-0.117771,-0.446464,-0.712643,-0.129066,-0.321373,-0.945854,0.045597,-0.476105,-1.081911,-0.091470,-0.354938,-0.661426,-0.071039,-0.291405,-0.741427,-0.007123,-0.172223,-1.019696,0.002827,-0.315188,-1.152585,-0.142605,-0.224439,-0.732806,-0.066577,-0.161389,-0.767843,0.034550,-0.011409,-1.085603,-0.049780,-0.149930,-1.225261,-0.116065,-0.114652,-0.919013,-0.058026,-0.056767,-0.890788,0.011937
Fist,0.000000,0.000000,0.000000,-0.248464,0.004289,-0.067009,-0.538934,-0.317340,-0.085472,-0.663316,-0.742673,-0.115921,-0.619129,-1.087338,-0.120938,-0.468265,-0.846812,0.068270,-0.603859,-0.974021,-0.063959,-0.516366,-0.695868,-0.110343,-0.458109,-0.718815,-0.118925,-0.331966,-0.941815,0.052760,-0.484634,-1.106034,-0.089134,-0.364906,-0.677233,-0.070609,-0.299842,-0.742512,-0.004085,-0.182944,-1.024097,0.002624,-0.324560,-1.173605,-0.148867,-0.231736,-0.747953,-0.071610,-0.167464,-0.773368,0.034350,-0.018947,-1.093492,-0.056599,-0.156864,-1.249553,-0.126481,-0.121500,-0.943965,-0.065182,-0.061463,-0.912096,0.010011
Fist,0.000000,0.000000,0.000000,-0.244515,0.003245,-0.066659,-0.536132,-0.323253,-0.081577,-0.659195,-0.750996,-0.107705,-0.614224,-1.081981,-0.108068,-0.462008,-0.855802,0.062694,-0.599587,-0.986909,-0.065327,-0.507719,-0.700650,-0.108405,-0.449325,-0.717799,-0.115501,-0.324862,-0.944460,0.049601,-0.481528,-1.106520,-0.086485,-0.362060,-0.674370,-0.064722,-0.300122,-0.738957,0.001486,-0.176314,-1.022277,0.002707,-0.320121,-1.174890,-0.141995,-0.229146,-0.743418,-0.061972,-0.166482,-0.762209,0.043216,-0.015078,-1.089056,-0.053530,-0.151698,-1.251646,-0.118593,-0.120157,-0.941135,-0.055686,-0.061812,-0.901020,0.018960
Fist,0.000000,0.000000,0.000000,-0.249480,-0.000646,-0.066568,-0.539645,-0.332770,-0.077527,-0.662265,-0.759161,-0.099001,-0.614293,-1.093112,-0.095646,-0.482273,-0.837599,0.068022,-0.618705,-0.953946,-0.059655,-0.519307,-0.666874,-0.107459,-0.454980,-0.709091,-0.120198,-0.340765,-0.938561,0.054610,-0.498124,-1.102206,-0.088032,-0.374511,-0.672599,-0.074861,-0.304410,-0.728619,-0.013414,-0.188832,-1.021788,0.007809,-0.334348,-1.176014,-0.141162,-0.241229,-0.742481,-0.066975,-0.173919,-0.756175,0.035895,-0.023774,-1.095295,-0.048126,-0.164027,-1.251719,-0.115039,-0.130658,-0.937057,-0.055267,-0.071733,-0.893631,0.017530
Fist,0.000000,0.000000,0.000000,-0.237794,0.022810,-0.069424,-0.548737,-0.327670,-0.079863,-0.675911,-0.773280,-0.101406,-0.613174,-1.098728,-0.098696,-0.477109,-0.843023,0.066444,-0.610398,-0.987383,-0.062348,-0.519640,-0.697524,-0.108183,-0.458558,-0.704486,-0.117173,-0.333244,-0.941259,0.054592,-0.489398,-1.113596,-0.086249,-0.369810,-0.673808,-0.068637,-0.300890,-0.717563,-0.003089,-0.181004,-1.021539,0.008064,-0.323998,-1.184836,-0.140917,-0.234259,-0.746349,-0.065091,-0.168832,-0.747045,0.039133,-0.014199,-1.096106,-0.047788,-0.153376,-1.266559,-0.116213,-0.119598,-0.950206,-0.056569,-0.060974,-0.897018,0.016164
Fist,0.000000,0.000000,0.000000,-0.256816,0.006046,-0.064619,-0.559381,-0.333592,-0.080259,-0.675674,-0.800075,-0.110701,-0.613303,-1.147413,-0.119421,-0.486962,-0.830704,0.083104,-0.612811,-0.969884,-0.047033,-0.544860,-0.739393,-0.087711,-0.485816,-0.766479,-0.089850,-0.346696,-0.935708,0.065205,-0.495300,-1.128706,-0.076319,-0.378067,-0.677998,-0.049876,-0.311267,-0.730487,0.027000,-0.193512,-1.030086,0.010949,-0.330328,-1.197196,-0.145704,-0.238104,-0.750308,-0.062941,-0.171548,-0.757354,0.051770,-0.021551,-1.111491,-0.052229,-0.165141,-1.289332,-0.121973,-0.130068,-0.964944,-0.054029,-0.066628,-0.912354,0.027385
Fist,0.000000,0.000000,0.000000,-0.250843,0.018799,-0.059304,-0.559543,-0.343282,-0.075775,-0.670317,-0.841255,-0.108659,-0.605971,-1.202834,-0.124345,-0.484737,-0.828437,0.078796,-0.595344,-0.975444,-0.053360,-0.557743,-0.808298,-0.095089,-0.517378,-0.872463,-0.100294,-0.338828,-0.939224,0.055254,-0.491236,-1.158967,-0.091246,-0.379431,-0.700744,-0.059424,-0.307568,-0.760998,0.023200,-0.180916,-1.038472,-0.004105,-0.319967,-1.227327,-0.168077,-0.234231,-0.772134,-0.079395,-0.162869,-0.781499,0.040956,-0.004782,-1.127561,-0.071943,-0.146258,-1.311349,-0.149443,-0.116762,-0.984146,-0.081772,-0.050194,-0.932518,-0.000266
Fist,0.000000,0.000000,0.000000,-0.239924,0.015616,-0.067447,-0.543639,-0.350917,-0.079705,-0.651619,-0.835605,-0.104683,-0.587245,-1.182193,-0.107923,-0.471853,-0.846653,0.066988,-0.592547,-1.007291,-0.065965,-0.518300,-0.746275,-0.108457,-0.455958,-0.763286,-0.113247,-0.324917,-0.944412,0.050148,-0.471109,-1.164350,-0.094984,-0.359376,-0.699918,-0.070057,-0.287160,-0.739399,0.004608,-0.168427,-1.029070,-0.002238,-0.301842,-1.229581,-0.165186,-0.214716,-0.761688,-0.082747,-0.143436,-0.749888,0.031940,0.004068,-1.106735,-0.063299,-0.128948,-1.289693,-0.142858,-0.096905,-0.957233,-0.079892,-0.034998,-0.896334,-0.001399
Fist,0.000000,0.000000,0.000000,-0.250238,-0.011830,-0.067092,-0.550112,-0.385944,-0.078002,-0.655731,-0.869633,-0.101254,-0.575814,-1.211699,-0.102371,-0.455620,-0.858360,0.063805,-0.581653,-1.049861,-0.061497,-0.501954,-0.744027,-0.103432,-0.434688,-0.740306,-0.110992,-0.308966,-0.949779,0.049607,-0.449264,-1.179909,-0.091135,-0.353010,-0.718468,-0.076575,-0.283501,-0.734024,-0.014614,-0.157308,-1.023238,0.002114,-0.289975,-1.247607,-0.152894,-0.212860,-0.780662,-0.079535,-0.139187,-0.747329,0.025001,0.012008,-1.090279,-0.053535,-0.126823,-1.306074,-0.126533,-0.099903,-0.979967,-0.065879,-0.034188,-0.901659,0.008207
Fist,0.000000,0.000000,0.000000,-0.257592,0.006842,-0.074150,-0.556202,-0.356605,-0.089260,-0.667419,-0.837732,-0.116440,-0.578927,-1.167551,-0.121892,-0.467491,-0.841549,0.075024,-0.587117,-1.010215,-0.052875,-0.506883,-0.727272,-0.098761,-0.439627,-0.728913,-0.106943,-0.321717,-0.944790,0.062213,-0.460983,-1.161212,-0.081575,-0.359897,-0.703697,-0.069944,-0.287874,-0.714713,-0.005345,-0.168634,-1.022486,0.014074,-0.299513,-1.221387,-0.145280,-0.219725,-0.759598,-0.076728,-0.147959,-0.728842,0.029016,0.001035,-1.085673,-0.042557,-0.138658,-1.278876,-0.115894,-0.107314,-0.960218,-0.055904,-0.041736,-0.891125,0.020163
Fist,0.000000,0.000000,0.000000,-0.248324,0.022623,-0.075421,-0.570069,-0.351409,-0.087359,-0.694465,-0.846860,-0.109757,-0.594766,-1.172601,-0.108008,-0.485241,-0.832481,0.061397,-0.610164,-1.008836,-0.061632,-0.521602,-0.701798,-0.097439,-0.462337,-0.711116,-0.100733,-0.335178,-0.940731,0.051773,-0.478723,-1.151660,-0.088872,-0.367407,-0.685853,-0.067539,-0.304414,-0.715058,0.001656,-0.181323,-1.022888,0.007645,-0.316099,-1.220073,-0.145389,-0.226217,-0.750893,-0.070204,-0.157460,-0.733706,0.036409,-0.012093,-1.102914,-0.045231,-0.152335,-1.290679,-0.113140,-0.114291,-0.972754,-0.053621,-0.049570,-0.913722,0.019261
Fist,0.000000,0.000000,0.000000,-0.252226,0.022528,-0.080285,-0.567745,-0.340079,-0.099045,-0.695176,-0.844513,-0.127676,-0.610202,-1.198447,-0.132946,-0.495577,-0.818108,0.061622,-0.615529,-0.988479,-0.070069,-0.523917,-0.693752,-0.110186,-0.465016,-0.704810,-0.113672,-0.347443,-0.936152,0.053879,-0.490901,-1.162912,-0.091630,-0.368481,-0.692581,-0.068438,-0.306281,-0.718237,0.005326,-0.192350,-1.024004,0.009988,-0.324918,-1.237893,-0.148849,-0.227670,-0.764367,-0.072129,-0.159164,-0.747253,0.038872,-0.018766,-1.113133,-0.042826,-0.158636,-1.310396,-0.113334,-0.117280,-0.988101,-0.053143,-0.053553,-0.929214,0.022008
Fist,0.000000,0.000000,0.000000,-0.242823,0.028041,-0.083993,-0.569901,-0.351415,-0.101742,-0.702686,-0.856867,-0.127993,-0.601981,-1.192465,-0.129862,-0.492968,-0.825684,0.048206,-0.614296,-0.995600,-0.078326,-0.524628,-0.693511,-0.113701,-0.468043,-0.718866,-0.117334,-0.340155,-0.939403,0.042613,-0.484586,-1.161753,-0.100803,-0.373022,-0.690288,-0.076036,-0.313727,-0.725881,-0.003902,-0.184089,-1.022091,0.002081,-0.320271,-1.237880,-0.150269,-0.229548,-0.765612,-0.070745,-0.160960,-0.755891,0.038036,-0.011477,-1.109806,-0.048219,-0.151562,-1.303404,-0.115371,-0.113065,-0.989057,-0.056836,-0.048948,-0.938329,0.014380
Fist,0.000000,0.000000,0.000000,-0.240161,0.011460,-0.075505,-0.557222,-0.348634,-0.089404,-0.688898,-0.822849,-0.113637,-0.597409,-1.147797,-0.115077,-0.466158,-0.843281,0.060025,-0.595978,-1.009551,-0.067439,-0.509580,-0.706519,-0.106972,-0.448117,-0.709534,-0.110714,-0.320699,-0.945858,0.050051,-0.472779,-1.145167,-0.093323,-0.358676,-0.682798,-0.071884,-0.289450,-0.705416,-0.000735,-0.168618,-1.022753,0.005199,-0.309765,-1.205073,-0.150526,-0.220300,-0.744323,-0.076574,-0.151419,-0.729576,0.030556,-0.000327,-1.091176,-0.048277,-0.144114,-1.280346,-0.118774,-0.107848,-0.958649,-0.059298,-0.043801,-0.895655,0.014595
Fist,0.000000,0.000000,0.000000,-0.243199,0.040355,-0.082220,-0.567891,-0.334073,-0.096722,-0.692461,-0.831813,-0.120270,-0.604105,-1.160302,-0.120132,-0.482853,-0.831841,0.056693,-0.607754,-1.007217,-0.079281,-0.527843,-0.708222,-0.122907,-0.467643,-0.716087,-0.128658,-0.330843,-0.942475,0.047786,-0.482833,-1.147520,-0.104856,-0.370413,-0.673621,-0.084271,-0.298775,-0.707973,-0.011398,-0.173029,-1.028826,0.002014,-0.312263,-1.215649,-0.162047,-0.227465,-0.746362,-0.086010,-0.161239,-0.741171,0.024463,-0.001086,-1.111377,-0.053030,-0.143400,-1.290825,-0.129157,-0.106252,-0.960777,-0.070109,-0.044043,-0.904944,0.004852
Fist,0.000000,0.000000,0.000000,-0.239067,0.021586,-0.065383,-0.550431,-0.346730,-0.079143,-0.667606,-0.830318,-0.107242,-0.590539,-1.158394,-0.112618,-0.462004,-0.843012,0.074278,-0.593023,-0.975813,-0.054875,-0.516018,-0.710812,-0.091861,-0.448826,-0.729607,-0.092228,-0.314046,-0.947687,0.057138,-0.476686,-1.135184,-0.085541,-0.360265,-0.677067,-0.054681,-0.285626,-0.736755,0.025173,-0.162149,-1.034199,0.003710,-0.310968,-1.203540,-0.151543,-0.222510,-0.746498,-0.067477,-0.150802,-0.759880,0.046814,0.004285,-1.114948,-0.058529,-0.141621,-1.288940,-0.129743,-0.106706,-0.971125,-0.067482,-0.038999,-0.926748,0.009016
Fist,0.000000,0.000000,0.000000,-0.237956,0.028683,-0.078430,-0.552630,-0.343518,-0.088331,-0.676452,-0.816081,-0.105947,-0.590726,-1.136515,-0.097847,-0.470251,-0.842593,0.054840,-0.601430,-0.976087,-0.070903,-0.503324,-0.682688,-0.111642,-0.443647,-0.720881,-0.119708,-0.325692,-0.944235,0.048419,-0.475631,-1.114836,-0.090981,-0.353653,-0.667740,-0.067451,-0.289660,-0.724255,0.000849,-0.173818,-1.025069,0.007137,-0.312511,-1.197508,-0.143773,-0.219595,-0.744395,-0.064776,-0.152080,-0.747917,0.041800,-0.007595,-1.103977,-0.044132,-0.144019,-1.269432,-0.115680,-0.106726,-0.952223,-0.058549,-0.045918,-0.905915,0.012314
Fist,0.000000,0.000000,0.000000,-0.240612,0.006954,-0.068310,-0.553002,-0.359551,-0.082483,-0.671584,-0.834883,-0.108785,-0.588157,-1.166005,-0.111508,-0.462186,-0.848826,0.060138,-0.595547,-0.997632,-0.068132,-0.510429,-0.716116,-0.104866,-0.448810,-0.740332,-0.107087,-0.316920,-0.947344,0.045836,-0.474111,-1.137867,-0.095338,-0.356269,-0.682601,-0.065702,-0.289353,-0.736592,0.009837,-0.165446,-1.030048,-0.003327,-0.310666,-1.207885,-0.157071,-0.219872,-0.751147,-0.074614,-0.150571,-0.756174,0.036713,0.001704,-1.107329,-0.061311,-0.142772,-1.290957,-0.132490,-0.108087,-0.974041,-0.071128,-0.043155,-0.922231,0.003769
Fist,0.000000,0.000000,0.000000,-0.239272,0.014036,-0.071098,-0.547284,-0.342166,-0.087538,-0.664195,-0.813392,-0.115770,-0.589999,-1.144091,-0.119914,-0.464747,-0.849106,0.057494,-0.596254,-0.995044,-0.077221,-0.514164,-0.723253,-0.116167,-0.451782,-0.726619,-0.116539,-0.319236,-0.946663,0.043798,-0.477564,-1.137146,-0.099907,-0.355785,-0.674828,-0.067341,-0.285010,-0.720142,0.012390,-0.165764,-1.032450,-0.005787,-0.309724,-1.208884,-0.163802,-0.216124,-0.746728,-0.075430,-0.145266,-0.738128,0.041953,0.003578,-1.109931,-0.064681,-0.139377,-1.291705,-0.140636,-0.102121,-0.967145,-0.075838,-0.037666,-0.910098,0.003776
Fist,0.000000,0.000000,0.000000,-0.245198,0.005766,-0.072681,-0.549104,-0.359464,-0.090115,-0.666476,-0.836300,-0.118079,-0.590816,-1.176104,-0.122328,-0.463742,-0.847254,0.054820,-0.594156,-0.987199,-0.073777,-0.505323,-0.706560,-0.111832,-0.441664,-0.733595,-0.115101,-0.318518,-0.946939,0.043038,-0.475928,-1.141281,-0.097672,-0.357017,-0.682652,-0.068768,-0.288348,-0.729923,0.006263,-0.166711,-1.028618,-0.003351,-0.309049,-1.210445,-0.156122,-0.219896,-0.752897,-0.073488,-0.149449,-0.750570,0.038066,0.001230,-1.106412,-0.058883,-0.139792,-1.295764,-0.128761,-0.107163,-0.982741,-0.066813,-0.043452,-0.929392,0.008701
Fist,0.000000,0.000000,0.000000,-0.250015,0.012148,-0.071792,-0.559923,-0.351554,-0.082902,-0.679490,-0.825967,-0.103618,-0.598062,-1.156011,-0.100238,-0.467705,-0.842316,0.059087,-0.603576,-0.982387,-0.065247,-0.514198,-0.693751,-0.103994,-0.455835,-0.719549,-0.109373,-0.325221,-0.944376,0.048841,-0.482029,-1.125882,-0.091410,-0.362851,-0.677930,-0.068499,-0.296081,-0.719030,0.000694,-0.175100,-1.027230,0.004570,-0.320236,-1.195930,-0.147552,-0.226773,-0.745528,-0.070508,-0.157983,-0.741598,0.036174,-0.009927,-1.103288,-0.048609,-0.153726,-1.280414,-0.119866,-0.115740,-0.966593,-0.061541,-0.051439,-0.915253,0.010856
Fist,0.000000,0.000000,0.000000,-0.244595,0.015300,-0.073421,-0.555861,-0.346875,-0.087307,-0.681810,-0.824605,-0.110095,-0.596332,-1.157662,-0.108400,-0.471262,-0.841373,0.055659,-0.600213,-0.982099,-0.069543,-0.506394,-0.685152,-0.108875,-0.447053,-0.713106,-0.115203,-0.326287,-0.944154,0.045937,-0.479065,-1.128670,-0.094719,-0.359300,-0.679621,-0.071966,-0.293605,-0.724330,-0.002855,-0.176795,-1.023824,0.002340,-0.315095,-1.196597,-0.148188,-0.222762,-0.747489,-0.071335,-0.154751,-0.753586,0.034528,-0.010669,-1.102286,-0.050095,-0.149928,-1.280185,-0.117578,-0.111346,-0.966340,-0.058239,-0.047967,-0.918300,0.013891
