label,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,f77,f78,f79,f80,f81,f82,f83,f84,f85,f86,f87,f88,f89,f90,f91,f92,f93,f94,f95,f96,f97,f98,f99,f100,f101,f102,f103,f104,f105,f106,f107,f108,f109,f110,f111,f112,f113,f114,f115,f116,f117,f118,f119,f120,f121,f122,f123,f124,f125,f126,f127,f128,f129,f130,f131,f132,f133,f134,f135,f136,f137,f138,f139,f140,f141,f142,f143,f144,f145,f146,f147,f148,f149,f150,f151,f152,f153,f154,f155,f156,f157,f158,f159,f160,f161,f162,f163,f164,f165,f166,f167,f168,f169,f170,f171,f172,f173,f174,f175,f176,f177,f178,f179,f180,f181,f182,f183,f184,f185,f186,f187,f188,f189,f190,f191,f192,f193
Swipe,0.000000,0.000000,0.000000,0.173452,-0.748942,0.006925,0.435934,-1.187990,-0.010220,0.744430,-1.288888,-0.024479,0.951206,-1.145108,-0.036392,0.893096,-0.748699,-0.071279,1.347196,-0.725384,-0.135296,1.614778,-0.686797,-0.166828,1.820231,-0.634362,-0.178613,0.946257,-0.305304,-0.106709,1.462021,-0.336879,-0.155352,1.772617,-0.348802,-0.165037,2.005565,-0.333886,-0.162595,0.921065,0.101593,-0.139217,1.381228,0.013334,-0.178590,1.664915,-0.018904,-0.181165,1.873653,-0.030112,-0.174830,0.825096,0.463657,-0.169522,1.178133,0.407930,-0.186004,1.380502,0.359553,-0.164237,1.539084,0.324690,-0.138187,0.000000,0.000000,0.000000,0.187828,-0.729243,-0.038569,0.469484,-1.153732,-0.091196,0.787734,-1.249052,-0.138530,1.018944,-1.119671,-0.184068,0.897823,-0.697780,-0.124841,1.382225,-0.676248,-0.213791,1.648003,-0.617249,-0.264395,1.853182,-0.544228,-0.289732,0.949184,-0.273836,-0.155124,1.486138,-0.303157,-0.212610,1.802476,-0.301645,-0.240397,2.038227,-0.256173,-0.257291,0.919138,0.116555,-0.186374,1.405741,0.046388,-0.233571,1.691484,0.017801,-0.247395,1.908259,0.022004,-0.256566,0.824269,0.472480,-0.220442,1.172411,0.433609,-0.252964,1.381500,0.385762,-0.243039,1.559387,0.352254,-0.228792,0.000000,0.000000,0.000000,0.134418,-0.724823,-0.051568,0.424923,-1.201646,-0.126244,0.795284,-1.330098,-0.186850,1.069597,-1.212050,-0.246478,0.875704,-0.770261,-0.196884,1.442626,-0.701130,-0.301684,1.720079,-0.621706,-0.350884,1.941142,-0.544341,-0.372739,0.925460,-0.311470,-0.215661,1.552117,-0.296237,-0.284634,1.877721,-0.285123,-0.300222,2.118887,-0.256571,-0.310662,0.892449,0.117739,-0.232684,1.455996,0.070549,-0.284606,1.753020,0.042239,-0.290689,1.972763,0.034757,-0.296508,0.802677,0.521933,-0.250870,1.216413,0.482197,-0.284228,1.443537,0.409580,-0.275378,1.634419,0.346725,-0.264345,-2.391549,-0.170220,-0.000000,2.460287,1.026146
Swipe,0.000000,0.000000,0.000000,0.167228,-0.765372,-0.030068,0.437484,-1.186311,-0.072737,0.747478,-1.275193,-0.113062,0.966507,-1.130438,-0.152989,0.889677,-0.738869,-0.101451,1.354383,-0.741234,-0.192209,1.627982,-0.703643,-0.249172,1.847213,-0.648136,-0.280456,0.939626,-0.312970,-0.138391,1.464279,-0.355415,-0.206616,1.784668,-0.368654,-0.240642,2.035567,-0.359775,-0.258181,0.913916,0.092968,-0.177477,1.384645,0.008775,-0.234331,1.682070,-0.020042,-0.253963,1.909562,-0.034241,-0.262733,0.822658,0.476878,-0.219003,1.179924,0.436272,-0.253216,1.387982,0.394931,-0.242236,1.557515,0.361329,-0.225763,0.000000,0.000000,0.000000,0.180553,-0.711561,-0.022137,0.464439,-1.123366,-0.050936,0.763654,-1.209019,-0.076923,0.964410,-1.049594,-0.102185,0.919976,-0.671036,-0.064832,1.349435,-0.650595,-0.134133,1.605486,-0.607075,-0.182956,1.803824,-0.547617,-0.210997,0.961237,-0.257979,-0.097316,1.446028,-0.281008,-0.133904,1.737424,-0.275136,-0.156376,1.958262,-0.235766,-0.171232,0.917066,0.123362,-0.133249,1.364117,0.052453,-0.171082,1.635900,0.036706,-0.189131,1.843984,0.050601,-0.201237,0.804118,0.472995,-0.171053,1.132249,0.443867,-0.202478,1.331832,0.407560,-0.197492,1.500866,0.383819,-0.187163,0.000000,0.000000,0.000000,0.216337,-0.680946,-0.043182,0.542865,-1.091879,-0.108632,0.896731,-1.155011,-0.168102,1.162515,-1.012842,-0.225357,0.940201,-0.605722,-0.165357,1.471849,-0.544657,-0.264071,1.739452,-0.467333,-0.310094,1.958380,-0.393601,-0.332573,0.965434,-0.167345,-0.199833,1.552935,-0.138871,-0.269508,1.871724,-0.107724,-0.294690,2.113120,-0.062686,-0.309204,0.910982,0.249969,-0.233785,1.446096,0.243461,-0.291606,1.742891,0.244807,-0.311242,1.963481,0.253067,-0.323898,0.803198,0.634774,-0.269330,1.193527,0.646865,-0.311486,1.420563,0.605448,-0.310938,1.608668,0.572336,-0.304026,-2.841464,0.166949,-0.000000,2.941561,1.033445
Swipe,0.000000,0.000000,0.000000,0.140900,-0.813305,0.001748,0.410473,-1.269639,-0.002512,0.743884,-1.355259,-0.002680,0.942057,-1.175482,0.001085,0.883757,-0.804034,-0.026963,1.331757,-0.767045,-0.068618,1.590862,-0.703954,-0.092026,1.788862,-0.624755,-0.099906,0.938002,-0.342834,-0.051152,1.451289,-0.342252,-0.075527,1.742890,-0.331452,-0.075065,1.957238,-0.295603,-0.064559,0.910327,0.074287,-0.075127,1.371415,0.003717,-0.097317,1.649129,-0.010018,-0.089576,1.853535,0.002115,-0.075024,0.805986,0.469015,-0.098310,1.154550,0.415257,-0.096896,1.349361,0.372711,-0.061196,1.496467,0.345868,-0.025176,0.000000,0.000000,0.000000,0.195146,-0.745436,-0.020759,0.508910,-1.161443,-0.060709,0.838251,-1.185626,-0.092857,1.039371,-0.982571,-0.126099,0.927786,-0.675011,-0.139768,1.417048,-0.613125,-0.213468,1.692419,-0.536858,-0.247909,1.903729,-0.461617,-0.260219,0.963426,-0.210542,-0.165779,1.512854,-0.189504,-0.212865,1.832720,-0.157398,-0.221471,2.062162,-0.101864,-0.219923,0.921331,0.207627,-0.186664,1.415067,0.154995,-0.220834,1.718385,0.146969,-0.221997,1.929799,0.164075,-0.216651,0.815250,0.567981,-0.207080,1.195321,0.517256,-0.216820,1.416466,0.470060,-0.187758,1.581334,0.435916,-0.157653,0.000000,0.000000,0.000000,0.186247,-0.738506,-0.083362,0.491373,-1.197946,-0.189985,0.864434,-1.268606,-0.278306,1.141948,-1.070961,-0.360125,0.946119,-0.692903,-0.272429,1.549662,-0.566986,-0.395271,1.846451,-0.447340,-0.441344,2.071383,-0.339610,-0.457458,0.939798,-0.175791,-0.293047,1.608275,-0.120846,-0.391982,1.953847,-0.061409,-0.406096,2.201513,-0.008680,-0.406134,0.873746,0.293554,-0.311102,1.463240,0.301770,-0.384742,1.789644,0.293845,-0.379405,2.022063,0.285740,-0.367142,0.767962,0.748375,-0.332476,1.217625,0.742325,-0.378441,1.465769,0.700642,-0.356088,1.658959,0.658203,-0.326431,-4.395032,-0.052172,0.000000,4.506749,1.025346
Swipe,0.000000,0.000000,0.000000,0.204736,-0.725992,0.007917,0.499060,-1.131508,-0.015506,0.807186,-1.177515,-0.035750,0.997624,-1.031340,-0.057738,0.912652,-0.693434,-0.129778,1.408950,-0.669633,-0.213892,1.690538,-0.627191,-0.249021,1.904499,-0.571349,-0.261276,0.948878,-0.265264,-0.171069,1.514068,-0.274137,-0.245796,1.844521,-0.276995,-0.264139,2.089077,-0.265787,-0.264970,0.908969,0.140822,-0.204806,1.409659,0.094771,-0.262901,1.713263,0.091455,-0.275309,1.931473,0.093444,-0.274078,0.802950,0.517162,-0.234619,1.179662,0.492926,-0.269550,1.399206,0.462601,-0.259642,1.571023,0.435336,-0.240909,0.000000,0.000000,0.000000,0.210264,-0.701349,-0.021900,0.501902,-1.078228,-0.072569,0.800811,-1.125469,-0.118420,1.013898,-0.979296,-0.166983,0.909097,-0.653965,-0.155248,1.398607,-0.633835,-0.260850,1.685599,-0.583257,-0.317523,1.905271,-0.522180,-0.345415,0.950799,-0.239396,-0.196647,1.492669,-0.232559,-0.278378,1.815931,-0.216752,-0.312719,2.053808,-0.175807,-0.329697,0.911470,0.144547,-0.234639,1.423247,0.104661,-0.303873,1.723718,0.100371,-0.325803,1.947768,0.117894,-0.335099,0.804168,0.488148,-0.271469,1.168731,0.470893,-0.323025,1.389407,0.444379,-0.321375,1.573612,0.427775,-0.309521,0.000000,0.000000,0.000000,0.207963,-0.822675,-0.090913,0.588206,-1.294395,-0.187500,1.003608,-1.342128,-0.261680,1.289052,-1.149218,-0.339943,0.926551,-0.821876,-0.328927,1.498817,-0.700976,-0.482157,1.825348,-0.595457,-0.562279,2.084976,-0.498814,-0.608718,0.909424,-0.207895,-0.360177,1.516026,-0.097738,-0.483220,1.878423,-0.014774,-0.543249,2.159095,0.040211,-0.586841,0.830217,0.342328,-0.385393,1.376104,0.439854,-0.494257,1.716255,0.492192,-0.538606,1.980291,0.507453,-0.566010,0.713586,0.826319,-0.409784,1.153767,0.900114,-0.504737,1.420447,0.900609,-0.522902,1.648230,0.889562,-0.525275,-3.209242,0.166986,0.000000,3.378087,1.051190
Swipe,0.000000,0.000000,0.000000,0.367933,0.086458,-0.067823,0.668012,-0.016122,-0.175475,0.872100,-0.091253,-0.288910,1.084973,-0.114056,-0.400964,0.730796,-0.686091,-0.282919,0.913819,-0.176997,-0.543570,0.909988,0.323297,-0.678468,0.901033,0.678876,-0.737584,0.524922,-0.774954,-0.352000,0.705560,-0.078235,-0.651627,0.731000,0.514415,-0.744862,0.749293,0.910219,-0.768292,0.315507,-0.724928,-0.429916,0.474694,-0.051010,-0.719845,0.533666,0.517349,-0.765570,0.583758,0.905939,-0.740227,0.122506,-0.591932,-0.506008,0.263745,-0.098702,-0.714286,0.337033,0.334186,-0.751932,0.401158,0.652836,-0.738490,0.000000,0.000000,0.000000,0.221948,-0.066628,-0.064166,0.404891,-0.337304,-0.105476,0.507089,-0.577913,-0.148219,0.602874,-0.768401,-0.186369,0.359523,-0.893915,-0.069402,0.493249,-0.854758,-0.203659,0.520899,-0.580264,-0.289146,0.524915,-0.354958,-0.325687,0.207508,-0.974378,-0.086768,0.355487,-0.842730,-0.230442,0.392308,-0.495299,-0.285463,0.412007,-0.250533,-0.293355,0.050667,-0.938710,-0.118154,0.183839,-0.794068,-0.266180,0.236286,-0.446888,-0.283089,0.275465,-0.216642,-0.257499,-0.095543,-0.820497,-0.152653,0.010284,-0.702884,-0.265351,0.083283,-0.457450,-0.277047,0.144568,-0.283294,-0.255245,0.000000,0.000000,0.000000,0.502531,-0.008596,0.158602,0.722844,-0.042386,0.431200,0.811400,-0.152539,0.660633,0.835994,-0.324625,0.905414,0.492162,0.000050,0.928232,0.570602,-0.342604,1.271275,0.656249,-0.555470,1.470960,0.711699,-0.693911,1.615710,0.225957,-0.149722,0.962562,0.325778,-0.479751,1.341629,0.416124,-0.802052,1.492821,0.473661,-0.979390,1.615663,0.004337,-0.276254,0.953642,0.108126,-0.587105,1.227675,0.200876,-0.906636,1.308729,0.275972,-1.062984,1.384857,-0.218723,-0.446140,0.938944,-0.162670,-0.697677,1.164533,-0.112736,-0.901143,1.264045,-0.049004,-1.028464,1.346379,0.001895,-1.509206,0.000000,2.397349,1.588481
Swipe,0.000000,0.000000,0.000000,0.220349,-0.217308,-0.068448,0.315655,-0.606851,-0.064555,0.319926,-0.941155,-0.058723,0.329123,-1.196209,-0.051413,0.138430,-0.960604,0.018778,0.171170,-1.331862,-0.020154,0.197620,-1.573879,-0.061676,0.220782,-1.788173,-0.092186,0.014679,-0.999679,0.020633,0.018814,-1.417926,-0.014074,0.028790,-1.703357,-0.059821,0.043394,-1.955478,-0.093266,-0.097882,-0.965427,0.006592,-0.106171,-1.348727,-0.037821,-0.088344,-1.599092,-0.079899,-0.065034,-1.821784,-0.106705,-0.209748,-0.881208,-0.015618,-0.222875,-1.185586,-0.058978,-0.211628,-1.393299,-0.084232,-0.191668,-1.597154,-0.100097,0.000000,0.000000,0.000000,0.221285,-0.259425,-0.041925,0.320740,-0.619517,-0.032134,0.316188,-0.921446,-0.026499,0.331431,-1.157119,-0.020703,0.135029,-0.965754,0.052514,0.160103,-1.320809,0.020100,0.184385,-1.547195,-0.020882,0.206604,-1.753357,-0.049125,0.006270,-0.998942,0.045558,0.007927,-1.396559,0.019797,0.016828,-1.658879,-0.023689,0.032869,-1.891142,-0.053772,-0.108068,-0.967488,0.024717,-0.113695,-1.331358,-0.008031,-0.101721,-1.563527,-0.041216,-0.081515,-1.769470,-0.060838,-0.221603,-0.874008,-0.002540,-0.234763,-1.176806,-0.030400,-0.227527,-1.374042,-0.041116,-0.208245,-1.563315,-0.045036,0.000000,0.000000,0.000000,0.271129,-0.388303,0.027310,0.405270,-0.744162,0.060946,0.431230,-1.043347,0.091185,0.434602,-1.291402,0.123500,0.254814,-0.940842,0.072123,0.264949,-1.425399,0.078541,0.280252,-1.728786,0.070961,0.298106,-1.976263,0.068655,0.091198,-0.993584,0.066886,0.089038,-1.470185,0.074408,0.097916,-1.786679,0.044127,0.118643,-2.043867,0.023290,-0.053570,-1.017544,0.064056,-0.052463,-1.460170,0.077359,-0.044420,-1.772869,0.049094,-0.025329,-2.023199,0.029318,-0.176074,-1.003252,0.065315,-0.179461,-1.402063,0.088692,-0.167581,-1.650039,0.094756,-0.144422,-1.853330,0.102506,-0.061883,-1.833668,0.000000,1.871954,1.020298
Swipe,0.000000,0.000000,0.000000,0.179045,-0.250664,-0.056403,0.250488,-0.642034,-0.058232,0.249943,-0.955008,-0.061577,0.260907,-1.203437,-0.063026,0.088197,-0.979447,0.023170,0.109584,-1.334488,-0.022303,0.134812,-1.558370,-0.068608,0.160692,-1.755976,-0.101605,-0.022405,-0.999648,0.014172,-0.021919,-1.401429,-0.024987,-0.009571,-1.668634,-0.070585,0.007023,-1.903565,-0.103873,-0.122364,-0.951087,-0.010812,-0.132506,-1.323702,-0.056527,-0.112712,-1.572232,-0.095315,-0.086512,-1.791323,-0.120960,-0.219692,-0.851378,-0.043728,-0.236752,-1.146317,-0.087192,-0.226662,-1.351145,-0.110057,-0.205807,-1.552859,-0.125166,0.000000,0.000000,0.000000,0.194164,-0.264450,-0.028898,0.256440,-0.660659,-0.012924,0.247367,-0.963278,-0.003620,0.258691,-1.182447,0.004881,0.075866,-0.975295,0.047972,0.093156,-1.328904,0.013187,0.119950,-1.555280,-0.026822,0.146035,-1.756074,-0.054844,-0.041264,-0.998644,0.031754,-0.044456,-1.404032,0.001640,-0.035373,-1.672691,-0.039659,-0.020422,-1.908764,-0.067717,-0.142540,-0.953782,0.002861,-0.153964,-1.335999,-0.035113,-0.140372,-1.582820,-0.069019,-0.119220,-1.802883,-0.089206,-0.241270,-0.844328,-0.031364,-0.264775,-1.155533,-0.066049,-0.259728,-1.369414,-0.081133,-0.239860,-1.572596,-0.088787,0.000000,0.000000,0.000000,0.252605,-0.414758,0.124651,0.325387,-0.730702,0.209180,0.339145,-0.994150,0.256508,0.344278,-1.211858,0.298199,0.203116,-0.964800,0.300137,0.181977,-1.311188,0.358877,0.186219,-1.510048,0.364720,0.192088,-1.679837,0.360124,0.081647,-0.969231,0.232218,0.051147,-1.315060,0.287804,0.055725,-1.551531,0.264140,0.071046,-1.704340,0.241341,-0.027803,-0.934568,0.158051,-0.071649,-1.271375,0.197921,-0.071904,-1.498880,0.185380,-0.055955,-1.670958,0.171157,-0.119904,-0.849322,0.089340,-0.166427,-1.161976,0.112841,-0.169558,-1.370538,0.118209,-0.155109,-1.546309,0.121997,0.049982,-1.983250,-0.000000,1.992388,1.004288
Swipe,0.000000,0.000000,0.000000,0.164795,-0.203635,-0.067671,0.233877,-0.593984,-0.078769,0.248030,-0.913982,-0.088201,0.275066,-1.158005,-0.094922,0.096460,-0.977742,-0.004019,0.117483,-1.335064,-0.053292,0.138082,-1.558169,-0.099258,0.156770,-1.755564,-0.132672,-0.005768,-0.999944,-0.008875,0.002381,-1.397586,-0.052867,0.018788,-1.656324,-0.096090,0.035958,-1.883886,-0.126815,-0.098993,-0.949885,-0.028872,-0.099283,-1.318585,-0.078080,-0.077188,-1.560624,-0.113171,-0.052588,-1.777229,-0.135810,-0.191406,-0.843254,-0.057553,-0.198478,-1.134165,-0.105138,-0.188025,-1.332890,-0.127495,-0.169009,-1.529235,-0.141210,0.000000,0.000000,0.000000,0.191624,-0.271245,-0.031788,0.261552,-0.624633,-0.025828,0.264437,-0.904997,-0.026543,0.286186,-1.121243,-0.027047,0.109671,-0.963822,0.050129,0.134500,-1.307033,0.014257,0.158393,-1.524912,-0.029830,0.177999,-1.723799,-0.060772,0.004323,-0.999375,0.035084,0.013143,-1.388565,0.009264,0.025209,-1.644797,-0.032669,0.039050,-1.871990,-0.062570,-0.092571,-0.971296,0.006930,-0.094670,-1.331514,-0.023220,-0.078097,-1.565381,-0.054584,-0.058597,-1.773001,-0.075024,-0.189341,-0.880190,-0.027273,-0.198463,-1.168589,-0.053736,-0.193355,-1.361323,-0.062688,-0.180956,-1.543705,-0.066515,0.000000,0.000000,0.000000,0.216767,-0.217932,0.002431,0.284837,-0.562438,0.049715,0.278527,-0.850666,0.083142,0.288853,-1.077916,0.118880,0.095685,-0.908760,0.195637,0.110094,-1.220805,0.219230,0.133584,-1.409516,0.202732,0.151095,-1.557849,0.188768,-0.014155,-0.982851,0.183855,-0.010537,-1.322800,0.218384,0.009071,-1.533064,0.193307,0.044044,-1.677828,0.173154,-0.124413,-1.000301,0.155003,-0.129783,-1.334182,0.179105,-0.108335,-1.527802,0.163805,-0.072359,-1.675557,0.150744,-0.241161,-0.953177,0.120248,-0.252024,-1.260076,0.139866,-0.238715,-1.437856,0.150400,-0.208612,-1.580574,0.158219,0.048627,-2.841544,0.000000,2.872021,1.010577
Swipe,0.000000,0.000000,0.000000,0.156802,-0.215359,-0.068232,0.216841,-0.608239,-0.079423,0.228057,-0.918596,-0.089175,0.240308,-1.162033,-0.096108,0.079525,-0.983983,-0.003258,0.094740,-1.334507,-0.052498,0.112413,-1.551631,-0.099719,0.128945,-1.746280,-0.134630,-0.022208,-0.999716,-0.008700,-0.020453,-1.386416,-0.052866,-0.006900,-1.643892,-0.098343,0.007521,-1.874547,-0.131784,-0.114270,-0.941689,-0.029745,-0.120523,-1.302311,-0.079469,-0.102199,-1.546567,-0.118289,-0.080948,-1.767803,-0.144321,-0.202768,-0.828074,-0.059580,-0.215517,-1.113892,-0.109382,-0.212118,-1.315010,-0.135904,-0.200975,-1.515622,-0.153328,0.000000,0.000000,0.000000,0.168122,-0.230207,-0.055688,0.231427,-0.618859,-0.059976,0.237217,-0.929370,-0.066226,0.252995,-1.168460,-0.069799,0.086307,-0.976465,0.023946,0.104414,-1.329382,-0.020272,0.124629,-1.550819,-0.066898,0.144669,-1.747040,-0.099582,-0.014927,-0.999758,0.016162,-0.010223,-1.395972,-0.019739,0.004099,-1.655333,-0.062113,0.022550,-1.880030,-0.091409,-0.107073,-0.955482,-0.006974,-0.111079,-1.328065,-0.047687,-0.095971,-1.566260,-0.077481,-0.074380,-1.773654,-0.095647,-0.196173,-0.852087,-0.038449,-0.205028,-1.142243,-0.074331,-0.198718,-1.343052,-0.087268,-0.182627,-1.531707,-0.093707,0.000000,0.000000,0.000000,0.218951,-0.209152,0.036965,0.273679,-0.542590,0.102928,0.260816,-0.826735,0.149600,0.269483,-1.044641,0.196134,0.085464,-0.898659,0.226758,0.103200,-1.249214,0.269427,0.128104,-1.448547,0.266726,0.152168,-1.617548,0.259141,-0.019069,-0.979522,0.200433,-0.018187,-1.355113,0.253701,-0.009919,-1.586475,0.234044,0.017515,-1.775379,0.212624,-0.120456,-0.996998,0.160007,-0.131968,-1.358045,0.201890,-0.124447,-1.568365,0.184957,-0.101333,-1.761228,0.163724,-0.225971,-0.944571,0.116178,-0.243353,-1.273168,0.150758,-0.233996,-1.469803,0.160774,-0.210433,-1.654849,0.161785,0.077114,-2.608316,-0.000000,2.632796,1.008944
Swipe,0.000000,0.000000,0.000000,0.185227,-0.190398,-0.066318,0.279332,-0.539511,-0.079723,0.302940,-0.824778,-0.091713,0.325762,-1.057027,-0.103076,0.152967,-0.972298,-0.019763,0.144849,-1.333986,-0.068315,0.132656,-1.567738,-0.115026,0.116755,-1.778375,-0.151168,0.046313,-0.998543,-0.027706,0.043884,-1.406477,-0.073253,0.036274,-1.687050,-0.122392,0.026324,-1.934149,-0.159314,-0.051917,-0.949827,-0.048175,-0.057726,-1.335817,-0.097058,-0.059732,-1.581234,-0.136435,-0.063045,-1.803293,-0.163721,-0.150238,-0.843147,-0.076629,-0.155210,-1.141053,-0.125752,-0.151456,-1.341596,-0.151356,-0.145101,-1.537450,-0.167958,0.000000,0.000000,0.000000,0.177698,-0.201882,-0.063162,0.263708,-0.554307,-0.081276,0.290051,-0.842021,-0.099017,0.320626,-1.069906,-0.117075,0.144423,-0.977845,-0.032214,0.137611,-1.360259,-0.088438,0.122749,-1.597053,-0.138791,0.101051,-1.807752,-0.175169,0.035114,-0.998425,-0.043745,0.037211,-1.424943,-0.093517,0.026367,-1.713608,-0.142711,0.007171,-1.965145,-0.178011,-0.064152,-0.943696,-0.066358,-0.070032,-1.340566,-0.113919,-0.071221,-1.588374,-0.148472,-0.078118,-1.807106,-0.171816,-0.165091,-0.827699,-0.096640,-0.169535,-1.129287,-0.139425,-0.163626,-1.330130,-0.156878,-0.157236,-1.517867,-0.167211,0.000000,0.000000,0.000000,0.179774,-0.225225,-0.099845,0.268030,-0.581090,-0.146762,0.289424,-0.890000,-0.186223,0.311553,-1.158426,-0.226851,0.127898,-1.002368,-0.103047,0.109303,-1.412045,-0.183676,0.087265,-1.654585,-0.246918,0.058709,-1.882289,-0.292564,0.003535,-0.994053,-0.108838,-0.011753,-1.453644,-0.182940,-0.034189,-1.754038,-0.245795,-0.059120,-2.032856,-0.292383,-0.108524,-0.896918,-0.126180,-0.125230,-1.332565,-0.197532,-0.130648,-1.607968,-0.244114,-0.136468,-1.857439,-0.276362,-0.220250,-0.733107,-0.152461,-0.233133,-1.059731,-0.217176,-0.229621,-1.280144,-0.245927,-0.224484,-1.489652,-0.264715,-0.042148,1.692574,0.000000,1.718402,1.014944
Swipe,0.000000,0.000000,0.000000,0.196340,-0.179413,-0.054050,0.276866,-0.536740,-0.051103,0.296945,-0.824485,-0.048846,0.322143,-1.038035,-0.044742,0.140995,-0.955689,0.022890,0.152887,-1.307001,-0.011099,0.165640,-1.537131,-0.050200,0.176632,-1.731780,-0.080602,0.034706,-0.999239,0.017821,0.042370,-1.385611,-0.011425,0.052824,-1.631220,-0.051224,0.065566,-1.834772,-0.080840,-0.064395,-0.974632,-0.001293,-0.064029,-1.339723,-0.036845,-0.055916,-1.576043,-0.071785,-0.044957,-1.778410,-0.095965,-0.164434,-0.895371,-0.028056,-0.168692,-1.189944,-0.065236,-0.164570,-1.389920,-0.086210,-0.154324,-1.583406,-0.099955,0.000000,0.000000,0.000000,0.192742,-0.194350,-0.050360,0.284715,-0.545654,-0.053663,0.301011,-0.829739,-0.059751,0.334826,-1.047570,-0.065686,0.148596,-0.959462,0.011354,0.171462,-1.321620,-0.030926,0.183770,-1.543043,-0.074273,0.189108,-1.740304,-0.106323,0.046439,-0.998920,-0.001596,0.059051,-1.416832,-0.041289,0.063518,-1.690117,-0.087322,0.061451,-1.925722,-0.119848,-0.046178,-0.967446,-0.026941,-0.043788,-1.351797,-0.070324,-0.035377,-1.588412,-0.105833,-0.031306,-1.796276,-0.128441,-0.142885,-0.873972,-0.059122,-0.144210,-1.174207,-0.099203,-0.136098,-1.372326,-0.116251,-0.124842,-1.558966,-0.125844,0.000000,0.000000,0.000000,0.172283,-0.228465,-0.086779,0.255274,-0.574906,-0.124154,0.274206,-0.890254,-0.158447,0.298589,-1.160191,-0.193067,0.121212,-0.987658,-0.059337,0.133898,-1.377531,-0.130200,0.139971,-1.604766,-0.190573,0.145041,-1.820724,-0.234856,0.006732,-0.997644,-0.068273,-0.000531,-1.441827,-0.131567,-0.007295,-1.722171,-0.192246,-0.012883,-1.977471,-0.237819,-0.093788,-0.920315,-0.090298,-0.108225,-1.329378,-0.153788,-0.112190,-1.594872,-0.199095,-0.112723,-1.838880,-0.230771,-0.190993,-0.770988,-0.121222,-0.209499,-1.083604,-0.180264,-0.211678,-1.301280,-0.207848,-0.210675,-1.509426,-0.225922,-0.051234,2.448269,0.000000,2.463963,1.006189
Swipe,0.000000,0.000000,0.000000,0.224135,-0.203334,-0.018312,0.306327,-0.556327,0.012728,0.318481,-0.842925,0.034314,0.337550,-1.063687,0.057240,0.121322,-0.941988,0.101575,0.155240,-1.267788,0.084513,0.197377,-1.462492,0.052844,0.244983,-1.626341,0.028257,0.010952,-0.996452,0.083451,0.013605,-1.375677,0.067546,0.038975,-1.628734,0.031076,0.079912,-1.842713,0.003789,-0.091004,-0.974588,0.049170,-0.096291,-1.331838,0.018046,-0.065117,-1.549114,-0.017938,-0.020116,-1.742684,-0.040984,-0.194682,-0.893708,0.009631,-0.204967,-1.188587,-0.021583,-0.179366,-1.381483,-0.040746,-0.134366,-1.568503,-0.053612,0.000000,0.000000,0.000000,0.201594,-0.221247,-0.034433,0.290249,-0.582603,-0.019980,0.302559,-0.862616,-0.011405,0.329664,-1.076913,-0.000914,0.116691,-0.961582,0.066997,0.144413,-1.272141,0.034384,0.187748,-1.456343,-0.009519,0.236862,-1.614715,-0.040441,0.006179,-0.998524,0.053962,0.009737,-1.367391,0.028557,0.034720,-1.605302,-0.012554,0.074426,-1.810805,-0.042041,-0.094510,-0.969043,0.025502,-0.094326,-1.308942,-0.009100,-0.067164,-1.517006,-0.042015,-0.025947,-1.700226,-0.061922,-0.197821,-0.879300,-0.010020,-0.211849,-1.162872,-0.041385,-0.187294,-1.346064,-0.055294,-0.141819,-1.517681,-0.062712,0.000000,0.000000,0.000000,0.168250,-0.259275,-0.063546,0.237202,-0.635583,-0.079410,0.235180,-0.931918,-0.096454,0.249241,-1.182689,-0.110098,0.067238,-1.013840,0.000195,0.070392,-1.352155,-0.065010,0.112026,-1.499619,-0.123181,0.170942,-1.577452,-0.158945,-0.052314,-0.998602,-0.007575,-0.077133,-1.370957,-0.062264,-0.042624,-1.568537,-0.114495,0.020648,-1.693028,-0.149990,-0.151839,-0.910775,-0.031862,-0.180532,-1.266994,-0.094225,-0.132339,-1.462418,-0.140103,-0.055184,-1.597735,-0.167471,-0.244440,-0.758542,-0.063579,-0.280587,-1.037130,-0.123800,-0.252404,-1.220545,-0.156655,-0.190971,-1.372370,-0.175500,-0.059053,2.270888,-0.000000,2.280648,1.003958
